Unit,Attack,Health,Ability,Tags,Notes
Royal Guard,4,10,"When you buff a slot, give it an additional +2/+2.",Human,
Swordsman,12,10,,Human,
Tavernmaster,5,5,Unleash: Give your other Dwarves +5/+5.,Dwarf,
Dragon,4,4,Flying. Unleash: Gain +3+3 for each Dragon Flame.,Dragon,
Mammoth,9,9,Trample. ,Beast,
Alpha Wolf,5,4,Sneaky. Kindred: Gain +2 Attack.,Beast,
Ancient Tortoise,2,16,,Beast,
Lion King,6,7,Kindred: Give a random slot +2/+2.,Beast,
Goblin Chief,8,4,"Kindred: Summon a Knife, Spear, or Muscle Goblin to a random slot.",Goblin,
Arrowmaster,5,5,"Ranged. When you summon another Ranged unit, give it Rush.",Elf,
Elder Elf,7,6,Ranged. Unleash: Give a Mystic +3/+3.,Elf,
Forest Guardian,5,5,Unleash: Heal your player 5. ,Mystic,
Archmage,2,2,Unleash: Deal 6 damage to enemies in this column.,Human,
Living Mana,8,4,Kindred: Add a Mana Surge to your hand.,Mystic,Mana Surge: Blue 1/1. Unleash: Banish this.
Void Element,1,10,Manacharge: Double this unit's attack.,Mystic,
Fire Giant,15,5,Manacharge: Deal 3 damage to the enemy's Front Row.,Mystic,
Abomination,5,3,Last Gasp: Return this to your hand.,Undead,
Lich,3,3,Kindred: Deal 3 damage to a random enemy. Heal your player 3.,Undead,
Death Knight,2,2,Unleash: Gain +2/+2 for each of your Souls.,Undead,
Phantom,7,5,Unleash: Consume up to 3 souls. Draw that many cards.,Mystic,
